date,Price,Open,High,Low,Vol.,"Change %"
2024-12-31,19775,19800,19815,19740,9000,0.0005
2024-12-30,19765,19785,19885,19700,15000,0
2024-12-29,19765,19810,19885,19710,19000,-0.002
2024-12-26,19805,19880,19885,19705,25000,-0.0038
2024-12-25,19880,19950,19885,19810,32000,0.0028000000000000004
2024-12-24,19825,19935,19885,19770,28000,-0.0058
2024-12-23,19940,19915,19885,19855,29000,0.0013
2024-12-20,19915,19820,19885,19805,24000,0.004
2024-12-19,19835,19920,19885,19750,35000,-0.003
2024-12-18,19895,19880,19885,19835,37000,-0.0053
2024-12-17,20000,20150,19885,19890,53000,-0.009399999999999999
2024-12-16,20190,20350,19885,20100,1000,-0.0062
2024-12-13,20315,20380,19885,20180,4000,-0.0059
2024-12-12,20435,20340,19885,20330,4000,0.0032
2024-11-12,20370,20315,19885,20310,4000,0.0015
2024-10-12,20340,20430,19885,20270,7000,0.0002
2024-09-12,20335,20305,19885,20265,8000,-0.0007000000000000001
2024-06-12,20350,20510,19885,20285,10000,-0.0085
2024-05-12,20525,20520,19885,20435,9000,0.0059
2024-04-12,20405,20390,19885,20320,13000,0.0022
2024-03-12,20360,20350,19885,20280,11000,-0.001
2024-02-12,20380,20350,19885,20320,11000,0.0025
2024-11-29,20330,20230,19885,20220,16000,-0.0002
2024-11-28,20335,20510,19885,20210,39000,-0.009000000000000001
2024-11-27,20520,20535,19885,20460,26000,-0.0024
2024-11-26,20570,20580,19885,20505,26000,0.0017000000000000001
2024-11-25,20535,20365,19885,20350,39000,0.001
2024-11-22,20515,20650,19885,20390,45000,-0.0073
2024-11-21,20665,20720,19885,20575,37000,-0.0002
2024-11-20,20670,20500,19885,20485,40000,0.011000000000000001
2024-11-19,20445,20365,19885,20300,57000,-0.0046
2024-11-18,20540,20950,19885,20275,161000,-0.0092
2024-11-15,20730,20655,19885,20630,2000,0.0073
2024-11-14,20580,20530,19885,20500,4000,-0.0096
2024-11-13,20780,20935,19885,20670,4000,-0.015600000000000001
2024-12-11,21110,21345,19885,20860,5000,-0.0147
2024-11-11,21425,21415,19885,21310,6000,-0.009000000000000001
2024-08-11,21620,21500,19885,21500,7000,0.016
2024-07-11,21280,20910,19885,20840,8000,0.0102
2024-06-11,21065,21075,19885,20950,7000,0.006
2024-05-11,20940,20825,19885,20800,10000,0.008199999999999999
2024-04-11,20770,20885,19885,20550,10000,0.0002
2024-01-11,20765,20770,19885,20700,9000,0.0019
2024-10-31,20725,20805,19885,20640,22000,-0.0026
2024-10-30,20780,20835,19885,20700,18000,0.0017000000000000001
2024-10-29,20745,20805,19885,20665,30000,-0.0072
2024-10-28,20895,20835,19885,20810,36000,0.0055000000000000005
2024-10-25,20780,20960,19885,20580,50000,-0.0102
2024-10-24,20995,20780,19885,20780,54000,0.006500000000000001
2024-10-23,20860,20865,19885,20775,50000,0.0058
2024-10-22,20740,20805,19885,20635,44000,-0.0012
2024-10-21,20765,20700,19885,20610,60000,0.0102
2024-10-18,20555,20500,19885,20475,75000,-0.0075
2024-10-17,20710,20755,19885,20480,102000,0.0017000000000000001
2024-10-16,20675,20570,19885,20560,100000,-0.0019
2024-10-15,20715,20750,19885,20375,2000,-0.0048
2024-10-14,20815,20945,19885,20705,6000,0.0048
2024-11-10,20715,20630,19885,20605,7000,0.011200000000000002
2024-10-10,20485,20395,19885,20270,11000,-0.0012
2024-09-10,20510,20565,19885,20440,10000,-0.0068000000000000005
2024-08-10,20650,20545,19885,20500,14000,0.01
2024-09-30,20445,20375,19885,20270,18000,0.0059
2024-09-27,20325,20225,19885,20190,34000,0.014199999999999999
2024-09-26,20040,19935,19885,19935,30000,-0.004
2024-09-25,20120,20045,19885,20000,42000,0.0118
2024-09-24,19885,19765,19885,19750,49000,0.004
2024-09-23,19805,19930,19885,19705,53000,-0.011200000000000002
2024-09-20,20030,20035,19885,19960,50000,0.0058
2024-09-19,19915,19960,19885,19760,90000,0.0048
2024-09-18,19820,19920,19885,19750,2000,0.0053
2024-09-13,19715,19680,19885,19670,3000,0.0079
2024-12-09,19560,19395,19885,19355,6000,0.0137
2024-11-09,19295,19310,19885,19230,7000,-0.0016
2024-10-09,19325,19150,19885,19130,9000,0.0105
2024-09-09,19125,19280,19885,19030,8000,-0.005699999999999999
2024-06-09,19235,19240,19885,19175,9000,-0.0034000000000000002
2024-05-09,19300,19305,19885,19160,8000,-0.0039000000000000003
2024-04-09,19375,19450,19885,19315,9000,-0.0072
2024-03-09,19515,19470,19885,19450,11000,-0.0031
2024-02-09,19575,19780,19885,19485,13000,-0.0066
2024-08-30,19705,19660,19885,19595,18000,0
2024-08-29,19705,19780,19885,19610,32000,-0.0103
2024-08-28,19910,19870,19885,19855,28000,0.003
2024-08-27,19850,19875,19885,19805,26000,-0.0005
2024-08-26,19860,19850,19885,19795,42000,0.004
2024-08-23,19780,19870,19885,19705,37000,0
2024-08-22,19780,19725,19885,19660,47000,0.0036
2024-08-21,19710,19800,19885,19605,54000,0.0040999999999999995
2024-08-20,19630,19645,19885,19540,77000,0.0098
2024-08-19,19440,19295,19885,19270,112000,0.0078000000000000005
2024-08-16,19290,19205,19885,19145,123000,0.0137
2024-08-15,19030,19000,19885,18950,3000,0.0034000000000000002
2024-08-14,18965,18950,19885,18915,3000,-0.0024
2024-08-13,19010,19050,19885,18895,3000,-0.0034000000000000002
2024-12-08,19075,19140,19885,19015,6000,0.0016
2024-09-08,19045,18870,19885,18865,8000,0.0101
2024-08-08,18855,18840,19885,18770,7000,-0.0026
2024-07-08,18905,18850,19885,18850,7000,0.0060999999999999995
2024-06-08,18790,18725,19885,18690,7000,-0.0060999999999999995
2024-05-08,18905,19105,19885,18810,9000,-0.0118
2024-02-08,19130,19150,19885,19035,9000,-0.004699999999999999
2024-01-08,19220,19220,19885,19130,11000,0.0124
2024-07-31,18985,18850,19885,18765,19000,0.0003
2024-07-30,18980,19120,19885,18900,22000,-0.013500000000000002
2024-07-29,19240,19230,19885,19155,23000,0.0023
2024-07-26,19195,19125,19885,19070,28000,0.0034000000000000002
2024-07-25,19130,19315,19885,19015,47000,-0.0075
2024-07-24,19275,19315,19885,19195,34000,-0.0023
2024-07-23,19320,19345,19885,19225,38000,-0.0095
2024-07-22,19505,19525,19885,19415,41000,-0.0031
2024-07-19,19565,19600,19885,19505,46000,-0.0048
2024-07-18,19660,19750,19885,19560,45000,-0.0051
2024-07-17,19760,19765,19885,19685,64000,-0.0053
2024-07-16,19865,19995,19885,19750,81000,-0.0043
2024-07-15,19950,19930,19885,19475,4000,-0.002
2024-12-07,19990,20220,19885,19850,5000,-0.0087
2024-11-07,20165,20185,19885,20100,6000,-0.0034999999999999996
2024-10-07,20235,20365,19885,20010,9000,-0.0060999999999999995
2024-09-07,20360,20340,19885,20280,7000,0.0032
2024-08-07,20295,20305,19885,20260,10000,-0.0012
2024-05-07,20320,20370,19885,20250,11000,-0.0044
2024-04-07,20410,20450,19885,20350,9000,0.0022
2024-03-07,20365,20350,19885,20310,11000,0.0032
2024-02-07,20300,20300,19885,20230,10000,0.0027
2024-01-07,20245,20350,19885,20180,12000,0.0015
2024-06-28,20215,20195,19885,20130,17000,-0.0002
2024-06-27,20220,20295,19885,20140,23000,0.0015
2024-06-26,20190,20245,19885,20105,36000,-0.005699999999999999
2024-06-25,20305,20350,19885,20245,27000,-0.0022
2024-06-24,20350,20370,19885,20280,42000,-0.0070999999999999995
2024-06-21,20495,20565,19885,20415,27000,-0.0002
2024-06-20,20500,20455,19885,20450,28000,0.0034000000000000002
2024-06-19,20430,20340,19885,20295,32000,0.0034000000000000002
2024-06-18,20360,20240,19885,20230,53000,0.0025
2024-06-17,20310,20450,19885,20195,3000,-0.0131
2024-06-14,20580,20635,19885,20495,4000,-0.0029
2024-06-13,20640,20790,19885,20575,3000,-0.0067
2024-12-06,20780,20820,19885,20700,5000,-0.0046
2024-11-06,20875,21100,19885,20785,5000,-0.0167
2024-07-06,21230,21220,19885,21150,8000,0.0019
2024-06-06,21190,21095,19885,20995,6000,0.0017000000000000001
2024-05-06,21155,21215,19885,21050,9000,-0.004699999999999999
2024-04-06,21255,21170,19885,21095,11000,0.0028000000000000004
